94	18	1
3776	3512	1
3	717	1
2005	1	1
8	0	1
98	841	1
496	6	1
74	151	1
48	173	1
1560	552	1
400	714	1
86	30	1
16	141	1
666	610	1
884	61	1
25	1500	1
234	896	1
176	7	1
6	2141	1
124	411	1
9	1306	1
1602	66	1
128	442	1
6	3743	1
3144	6	1
252	82	1
0	1825	1
130	124	1
327	53	1
245	42	1
254	1476	1
455	29	1
1858	517	-1
1	13	1
1893	34	1
671	75	1
2	106	1
9	477	1
7	1517	1
1343	220	1
6	3746	-1
584	123	1
206	5	1
60	3160	1
9	91	1
1610	3728	1
797	1485	1
144	2468	1
24	227	1
1	305	1
15	198	1
3056	0	1
633	66	1
57	184	-1
16	14	1
1275	1761	1
41	30	1
2924	79	1
451	392	1
1570	137	1
6	1150	1
169	50	1
2464	3	1
75	74	1
68	1751	1
17	2709	1
3743	176	-1
17	255	1
315	3770	-1
18	28	1
28	683	1
87	184	-1
265	450	1
940	25	1
3	577	1
919	917	1
84	319	1
96	176	1
2	11	1
28	31	1
196	243	1
33	204	1
1038	267	1
13	360	1
317	189	1
135	4	1
137	435	1
3708	3608	1
989	108	1
125	63	1
379	130	1
841	98	1
2001	3	1
1734	16	1
322	167	1
640	287	1
465	147	1
832	708	1
251	3782	-1
10	41	1
9	10	1
98	658	1
207	483	1
59	1	1
334	114	1
525	109	1
18	782	1
3	360	1
1920	1	1
127	3293	1
490	195	1
3383	144	1
25	283	1
1915	267	1
1103	610	1
280	14	1
824	11	1
244	3778	-1
123	1032	1
374	603	1
609	36	1
3773	3596	1
169	1526	1
115	18	1
590	26	1
881	94	1
82	3781	-1
176	1050	1
699	20	1
11	1860	1
377	103	1
1166	0	1
78	2671	1
115	394	1
10	187	1
2175	68	1
241	28	1
124	288	1
797	116	-1
1765	797	1
29	756	1
28	746	1
124	375	1
84	3782	-1
150	284	1
91	647	1
2	87	1
236	15	1
875	740	1
88	123	1
695	7	1
342	251	1
7	4	1
369	797	1
315	364	1
209	1439	1
181	366	1
48	114	1
16	112	1
1	411	1
397	375	1
1981	1992	1
51	2885	1
198	450	1
155	16	1
994	503	1
2576	37	1
155	454	1
76	544	1
17	1283	1
2047	443	1
641	176	1
62	222	1
1301	3224	1
497	707	-1
441	1629	1
29	111	1
98	49	1
961	965	1
2891	56	1
3558	2	1
2089	14	1
1334	1529	1
66	78	1
3	560	1
2404	760	1
0	2107	1
71	180	1
751	936	1
2	1549	1
7	132	1
84	204	1
8	2776	1
3464	3608	-1
92	57	1
121	197	1
74	917	1
149	665	1
1824	884	1
