0	0	1	0
0	1	1	0
0	5	1	0
0	8	1	0
0	14	1	0
0	15	1	0
0	22	1	0
0	39	1	0
0	153	1	0
0	174	1	1
0	210	1	0
0	220	1	0
0	262	1	0
0	314	1	0
0	465	1	0
0	486	1	0
0	502	1	0
0	609	1	0
0	633	1	0
0	807	1	0
0	879	1	1
0	1268	1	0
0	1282	-1	0
0	1315	1	0
0	1334	-1	0
0	1399	1	0
0	1570	1	1
0	1687	1	0
0	1773	1	1
0	1780	1	1
0	1972	1	0
0	1973	1	0
0	2121	1	0
0	2122	1	1
0	2371	1	0
0	2555	1	0
1	1	1	1
1	2	1	0
1	3	1	0
1	5	1	1
1	6	1	0
1	7	1	1
1	9	1	0
1	10	1	0
1	11	1	1
1	14	1	0
1	15	1	0
1	17	1	0
1	18	1	0
1	19	1	1
1	20	1	0
1	22	1	0
1	30	1	0
1	33	1	1
1	34	1	0
1	36	1	1
1	37	1	1
1	40	1	0
1	44	1	0
1	48	1	0
1	49	1	1
1	51	1	0
1	53	1	1
1	55	1	0
1	68	1	0
1	74	1	0
1	75	1	1
1	76	1	0
1	78	1	1
1	79	1	1
1	80	1	0
1	82	1	1
1	88	1	0
1	90	1	0
1	92	1	0
1	93	1	1
1	95	1	0
1	98	1	1
1	100	1	0
1	101	1	0
1	102	1	0
1	120	1	1
1	126	1	0
1	132	1	1
1	134	1	0
1	136	1	1
1	143	1	0
1	148	1	0
1	157	1	0
1	169	1	0
1	174	1	0
1	176	1	0
1	178	1	1
1	179	1	0
1	196	1	1
1	198	1	0
1	201	1	1
1	212	1	1
1	213	1	0
1	218	1	0
1	225	1	0
1	228	1	1
1	232	1	0
1	249	1	0
1	256	1	1
1	261	1	0
1	263	1	0
1	264	1	0
1	265	1	0
1	275	1	1
1	290	1	0
1	292	1	1
1	295	1	0
1	314	1	0
1	329	1	0
1	331	1	0
1	342	1	0
1	343	1	0
1	351	1	0
1	366	1	0
1	368	1	0
1	378	1	0
1	388	1	0
1	392	1	0
1	410	1	1
1	420	1	1
1	425	1	0
1	430	1	1
